cep_ini,cep_fim,cidade,uf,prazo,peso5,peso10,peso20,peso40,peso60,peso100,excedente_kg,gris_min,gris_pct,tas,pedagio_fixo,pedagio_fracao_kg
75843000,75844999,PORTELANDIA,GO,6,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
73900000,73909999,POSSE,GO,7,124.7,155.89,174.95,228.51,271.5,313.43,3.46,1.74,0.001,11.63,8.89,100
75645000,75649999,PROFESSOR JAMIL,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75860000,75864999,QUIRINOPOLIS,GO,7,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
76310000,76314999,RIALMA,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76315000,76319999,RIANAPOLIS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75667000,75669999,RIO QUENTE,GO,9,69,86.27,105.98,128.98,152.3,180.12,2.2,1.74,0.001,11.63,8.89,100
75900001,75914999,RIO VERDE,GO,5,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
76350000,76354999,RUBIATABA,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
76160000,76164999,SANCLERLANDIA,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75398000,75399999,SANTA BARBARA DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75220000,75229999,SANTA CRUZ DE GOIAS,GO,7,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
76265000,76269999,SANTA FE DE GOIAS,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75920000,75924999,SANTA HELENA DE GOIAS,GO,7,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
76320000,76329999,SANTA ISABEL,GO,9,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75840000,75842999,SANTA RITA DO ARAGUAIA,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
76395000,76399999,SANTA RITA DO NOVO DESTINO,GO,9,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75455000,75459999,SANTA ROSA DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76480000,76484999,SANTA TEREZA DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76500000,76509999,SANTA TEREZINHA DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75935000,75939999,SANTO ANTONIO DA BARRA,GO,8,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
75375000,75379999,SANTO ANTONIO DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
72900001,72909999,SANTO ANTONIO DO DESCOBERTO,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
73860000,73864999,SAO DOMINGOS,GO,9,124.7,155.89,174.95,228.51,271.5,313.43,3.46,1.74,0.001,11.63,8.89,100
75490000,75494999,SAO FRANCISCO DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75985000,75989999,SAO JOAO DA PARAUNA,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
73760000,73769999,SAO JOAO D'ALIANCA,GO,9,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76050000,76059999,SAO LUIS DE MONTES BELOS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76365000,76369999,SAO LUIZ DO NORTE,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
76590000,76599999,SAO MIGUEL DO ARAGUAIA,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75185000,75189999,SAO MIGUEL DO PASSA QUATRO,GO,5,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
76343000,76344999,SAO PATRICIO,GO,9,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75890000,75899999,SAO SIMAO,GO,6,69,86.27,105.98,128.98,152.3,180.12,2.2,1.74,0.001,11.63,8.89,100
75250001,75264999,SENADOR CANEDO,GO,5,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
75820000,75822999,SERRANOPOLIS,GO,6,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75180000,75183999,SILVANIA,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
73930000,73949999,SIMOLANDIA,GO,9,124.7,155.89,174.95,228.51,271.5,313.43,3.46,1.74,0.001,11.63,8.89,100
73990000,73999999,SITIO D'ABADIA,GO,9,124.7,155.89,174.95,228.51,271.5,313.43,3.46,1.74,0.001,11.63,8.89,100
76640000,76649999,TAQUARAL DE GOIAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
73795000,73799999,TERESINA DE GOIAS,GO,9,124.7,155.89,174.95,228.51,271.5,313.43,3.46,1.74,0.001,11.63,8.89,100
75175000,75179999,TEREZOPOLIS DE GOIAS,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75720000,75729999,TRES RANCHOS,GO,9,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75380001,75394999,TRINDADE,GO,7,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
76460000,76464999,TROMBAS,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76110000,76119999,TURVANIA,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75970000,75979999,TURVELANDIA,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
76525000,76529999,UIRAPURU,GO,9,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76400000,76409999,URUACU,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
76335000,76339999,URUANA,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75790000,75794999,URUTAI,GO,9,69,86.27,105.98,128.98,152.3,180.12,2.2,1.74,0.001,11.63,8.89,100
72870001,72879999,VALPARAISO DE GOIAS,GO,5,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75355000,75359999,VARJAO,GO,7,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
75265000,75279999,VIANOPOLIS,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
75555000,75559999,VICENTINOPOLIS,GO,7,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
73825000,73829999,VILA BOA,GO,9,124.7,155.89,174.95,228.51,271.5,313.43,3.46,1.74,0.001,11.63,8.89,100
76393000,76394999,VILA PROPICIO,GO,9,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
38540000,38549999,ABADIA DOS DOURADOS,MG,7,69,86.27,105.98,128.98,152.3,180.12,2.2,1.74,0.001,11.63,8.89,100
35620000,35620999,ABAETE,MG,10,69,86.27,105.98,128.98,152.3,180.12,2.2,1.74,0.001,11.63,8.89,100
35365000,35366999,ABRE CAMPO,MG,15,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
35438000,35438999,ACAIACA,MG,15,78.63,98.26,123.08,144.76,172.18,202.03,2.47,1.74,0.001,11.63,8.89,100
35147000,35147999,ACUCENA,MG,13,101.94,127.42,143.24,187.5,222.69,256.38,2.82,1.74,0.001,11.63,8.89,100
39790000,39794999,AGUA BOA,MG,16,69,86.27,105.98,128.98,152.3,180.12,2.2,1.74,0.001,11.63,8.89,100
38110000,38119999,AGUA COMPRIDA,MG,8,56.42,70.52,90.53,110.73,131.11,156.47,1.91,1.74,0.001,11.63,8.89,100
37273000,37274999,AGUANIL,MG,8,56.42,70.52,90.53,110.73,131.11,156.47,1.91,1.74,0.001,11.63,8.89,100
39880000,39884999,AGUAS FORMOSAS,MG,16,114.6,143.24,160.76,210,249.51,288.03,3.17,1.74,0.001,11.63,8.89,100
